Title,Rating
Homot Shel Tikva,9.3
Hasandak,9.2
The Dark Knight,9.1
The Godfather Part II,9.0
12 Angry Men,9.0
Sar Hatabaot: Shivat Hamelekh',9.0
Reshimut Schindler,9.0
Sar HaTabaot: Achvat HaTabaat,8.9
Sifrut Zolla,8.8
Ha'tov Ha'ra Veha'meho'ar,8.8
Sar Hatabaot: Shnei Hatzri'kh'im,8.8
Forrest Gump,8.8
Mo'adon Krav,8.8
Hat'hala,8.8
Ha-Emperia Maka Shenit,8.7
The Matrix,8.7
GoodFellas,8.7
Bein Kochavim,8.7
Ken Ha-Cookiya,8.6
Se7en,8.6
It's a Wonderful Life,8.6
The Silence of the Lambs,8.6
Shichinin no samurai,8.6
Saving Private Ryan,8.6
The Green Mile,8.6
